SOA,Program,Crop,Crop_2,Value,share,150
Inibidores da PPO,PRÉ-emergente,Algodão,Algodão (n=23),11,6,
Mimetizadores da auxina,PRÉ-emergente,Algodão,Algodão (n=23),0,0,
Inibidores da AGCML,PRÉ-emergente,Algodão,Algodão (n=23),31,17,
Inibidores da ALS ,PÓS-emergente,Algodão,Algodão (n=23),18,9,200
Inibidores da ACCase ,PÓS-emergente,Algodão,Algodão (n=23),36,18,
Inibidores da DOXP sintase,PÓS-emergente,Algodão,Algodão (n=23),0,0,
Inibidores da glutamina sintetase,PÓS-emergente,Algodão,Algodão (n=23),64,32,
Inibidores da HPPD,PÓS-emergente,Algodão,Algodão (n=23),0,0,
Inibidores da EPSPS,PÓS-emergente,Algodão,Algodão (n=23),55,28,
Inibidores da formação de microtubulos,PÓS-emergente,Algodão,Algodão (n=23),0,0,
Desvio de elétrons do FSI,PÓS-emergente,Algodão,Algodão (n=23),0,0,
Inibidores do FSII,PÓS-emergente,Algodão,Algodão (n=23),18,9,
Inibidores da PPO,PÓS-emergente,Algodão,Algodão (n=23),0,0,
Mimetizadores da auxina,PÓS-emergente,Algodão,Algodão (n=23),0,0,
Inibidores da AGCML,PÓS-emergente,Algodão,Algodão (n=23),9,5,
Inibidores da ALS ,Dessecante colheita,Algodão,Algodão (n=23),0,0,75
Inibidores da ACCase ,Dessecante colheita,Algodão,Algodão (n=23),0,0,
Inibidores da DOXP sintase,Dessecante colheita,Algodão,Algodão (n=23),0,0,
Inibidores da glutamina sintetase,Dessecante colheita,Algodão,Algodão (n=23),0,0,
Inibidores da HPPD,Dessecante colheita,Algodão,Algodão (n=23),0,0,
Inibidores da EPSPS,Dessecante colheita,Algodão,Algodão (n=23),0,0,
Inibidores da formação de microtubulos,Dessecante colheita,Algodão,Algodão (n=23),0,0,
Desvio de elétrons do FSI,Dessecante colheita,Algodão,Algodão (n=23),25,33,
Inibidores do FSII,Dessecante colheita,Algodão,Algodão (n=23),50,67,
Inibidores da PPO,Dessecante colheita,Algodão,Algodão (n=23),0,0,
Mimetizadores da auxina,Dessecante colheita,Algodão,Algodão (n=23),0,0,
Inibidores da AGCML,Dessecante colheita,Algodão,Algodão (n=23),0,0,
Inibidores da ALS ,Dessecante pré plantio,Arroz,Arroz (n=45),0,0,119
Inibidores da ACCase ,Dessecante pré plantio,Arroz,Arroz (n=45),0,0,
Inibidores da DOXP sintase,Dessecante pré plantio,Arroz,Arroz (n=45),0,0,
Inibidores da glutamina sintetase,Dessecante pré plantio,Arroz,Arroz (n=45),0,0,
Inibidores da HPPD,Dessecante pré plantio,Arroz,Arroz (n=45),0,0,
Inibidores da EPSPS,Dessecante pré plantio,Arroz,Arroz (n=45),93,78,
Inibidores da formação de microtubulos,Dessecante pré plantio,Arroz,Arroz (n=45),0,0,
Desvio de elétrons do FSI,Dessecante pré plantio,Arroz,Arroz (n=45),7,6,
Inibidores do FSII,Dessecante pré plantio,Arroz,Arroz (n=45),0,0,
Inibidores da PPO,Dessecante pré plantio,Arroz,Arroz (n=45),0,0,
Mimetizadores da auxina,Dessecante pré plantio,Arroz,Arroz (n=45),19,16,
Inibidores da AGCML,Dessecante pré plantio,Arroz,Arroz (n=45),0,0,
Inibidores da ALS ,PRÉ-emergente,Arroz,Arroz (n=45),5,5,110
Inibidores da ACCase ,PRÉ-emergente,Arroz,Arroz (n=45),0,0,
Inibidores da DOXP sintase,PRÉ-emergente,Arroz,Arroz (n=45),76,69,
Inibidores da glutamina sintetase,PRÉ-emergente,Arroz,Arroz (n=45),0,0,
Inibidores da HPPD,PRÉ-emergente,Arroz,Arroz (n=45),0,0,
Inibidores da EPSPS,PRÉ-emergente,Arroz,Arroz (n=45),0,0,
Inibidores da formação de microtubulos,PRÉ-emergente,Arroz,Arroz (n=45),10,9,
Desvio de elétrons do FSI,PRÉ-emergente,Arroz,Arroz (n=45),0,0,
Inibidores do FSII,PRÉ-emergente,Arroz,Arroz (n=45),0,0,
Inibidores da PPO,PRÉ-emergente,Arroz,Arroz (n=45),14,13,
Mimetizadores da auxina,PRÉ-emergente,Arroz,Arroz (n=45),0,0,
Inibidores da AGCML,PRÉ-emergente,Arroz,Arroz (n=45),5,5,
Inibidores da ALS ,PÓS-emergente,Arroz,Arroz (n=45),87,58,151
Inibidores da ACCase ,PÓS-emergente,Arroz,Arroz (n=45),26,17,
Inibidores da DOXP sintase,PÓS-emergente,Arroz,Arroz (n=45),6,4,
Inibidores da glutamina sintetase,PÓS-emergente,Arroz,Arroz (n=45),0,0,
Inibidores da HPPD,PÓS-emergente,Arroz,Arroz (n=45),0,0,
Inibidores da EPSPS,PÓS-emergente,Arroz,Arroz (n=45),3,2,
