Regiao,Resp,Perc
Brasil,Sim,46
Norte,Sim,55
Nordeste,Sim,50
Centro-Oeste,Sim,79
Sudeste,Sim,37
Sul,Sim,54
Brasil,Não sabe,24
Norte,Não sabe,36
Nordeste,Não sabe,23
Centro-Oeste,Não sabe,12
Sudeste,Não sabe,29
Sul,Não sabe,19
Brasil,Não  ,30
Norte,Não  ,9
Nordeste,Não  ,27
Centro-Oeste,Não  ,9
Sudeste,Não  ,34
Sul,Não  ,26
