SOA,Program,Crop,Crop_2,Value,share,150
EPSPS-inhibitor,POST-emergence,Cotton,Cotton (n=23),55,28,
Microtubule inhibitor,POST-emergence,Cotton,Cotton (n=23),0,0,
PSI-inhibitor,POST-emergence,Cotton,Cotton (n=23),0,0,
PSII-inhibitor,POST-emergence,Cotton,Cotton (n=23),18,9,
PPO-inhibitor,POST-emergence,Cotton,Cotton (n=23),0,0,
Synthetic auxin,POST-emergence,Cotton,Cotton (n=23),0,0,
LCFA inhibitor,POST-emergence,Cotton,Cotton (n=23),9,5,
ALS inhibitor ,Harvest aid,Cotton,Cotton (n=23),0,0,75
ACCase inhibitor,Harvest aid,Cotton,Cotton (n=23),0,0,
Diterpene synthase-inhibitor,Harvest aid,Cotton,Cotton (n=23),0,0,
Glutamine synthetase-inhibitor,Harvest aid,Cotton,Cotton (n=23),0,0,
HPPD-inhibitor,Harvest aid,Cotton,Cotton (n=23),0,0,
EPSPS-inhibitor,Harvest aid,Cotton,Cotton (n=23),0,0,
Microtubule inhibitor,Harvest aid,Cotton,Cotton (n=23),0,0,
PSI-inhibitor,Harvest aid,Cotton,Cotton (n=23),25,33,
PSII-inhibitor,Harvest aid,Cotton,Cotton (n=23),50,67,
PPO-inhibitor,Harvest aid,Cotton,Cotton (n=23),0,0,
Synthetic auxin,Harvest aid,Cotton,Cotton (n=23),0,0,
LCFA inhibitor,Harvest aid,Cotton,Cotton (n=23),0,0,
ALS inhibitor ,Burndown,Rice,Rice (n=45),0,0,119
ACCase inhibitor,Burndown,Rice,Rice (n=45),0,0,
Diterpene synthase-inhibitor,Burndown,Rice,Rice (n=45),0,0,
Glutamine synthetase-inhibitor,Burndown,Rice,Rice (n=45),0,0,
HPPD-inhibitor,Burndown,Rice,Rice (n=45),0,0,
EPSPS-inhibitor,Burndown,Rice,Rice (n=45),93,78,
Microtubule inhibitor,Burndown,Rice,Rice (n=45),0,0,
PSI-inhibitor,Burndown,Rice,Rice (n=45),7,6,
PSII-inhibitor,Burndown,Rice,Rice (n=45),0,0,
PPO-inhibitor,Burndown,Rice,Rice (n=45),0,0,
Synthetic auxin,Burndown,Rice,Rice (n=45),19,16,
LCFA inhibitor,Burndown,Rice,Rice (n=45),0,0,
ALS inhibitor ,PRE-emergence,Rice,Rice (n=45),5,5,110
ACCase inhibitor,PRE-emergence,Rice,Rice (n=45),0,0,
Diterpene synthase-inhibitor,PRE-emergence,Rice,Rice (n=45),76,69,
Glutamine synthetase-inhibitor,PRE-emergence,Rice,Rice (n=45),0,0,
HPPD-inhibitor,PRE-emergence,Rice,Rice (n=45),0,0,
EPSPS-inhibitor,PRE-emergence,Rice,Rice (n=45),0,0,
Microtubule inhibitor,PRE-emergence,Rice,Rice (n=45),10,9,
PSI-inhibitor,PRE-emergence,Rice,Rice (n=45),0,0,
PSII-inhibitor,PRE-emergence,Rice,Rice (n=45),0,0,
PPO-inhibitor,PRE-emergence,Rice,Rice (n=45),14,13,
Synthetic auxin,PRE-emergence,Rice,Rice (n=45),0,0,
LCFA inhibitor,PRE-emergence,Rice,Rice (n=45),5,5,
ALS inhibitor ,POST-emergence,Rice,Rice (n=45),87,58,151
ACCase inhibitor,POST-emergence,Rice,Rice (n=45),26,17,
Diterpene synthase-inhibitor,POST-emergence,Rice,Rice (n=45),6,4,
Glutamine synthetase-inhibitor,POST-emergence,Rice,Rice (n=45),0,0,
HPPD-inhibitor,POST-emergence,Rice,Rice (n=45),0,0,
EPSPS-inhibitor,POST-emergence,Rice,Rice (n=45),3,2,
Microtubule inhibitor,POST-emergence,Rice,Rice (n=45),0,0,
PSI-inhibitor,POST-emergence,Rice,Rice (n=45),0,0,
PSII-inhibitor,POST-emergence,Rice,Rice (n=45),13,9,
PPO-inhibitor,POST-emergence,Rice,Rice (n=45),6,4,
Synthetic auxin,POST-emergence,Rice,Rice (n=45),10,7,
LCFA inhibitor,POST-emergence,Rice,Rice (n=45),0,0,
ALS inhibitor ,Harvest aid,Rice,Rice (n=45),0,0,0
ACCase inhibitor,Harvest aid,Rice,Rice (n=45),0,0,
Diterpene synthase-inhibitor,Harvest aid,Rice,Rice (n=45),0,0,
Glutamine synthetase-inhibitor,Harvest aid,Rice,Rice (n=45),0,0,
HPPD-inhibitor,Harvest aid,Rice,Rice (n=45),0,0,
EPSPS-inhibitor,Harvest aid,Rice,Rice (n=45),0,0,
Microtubule inhibitor,Harvest aid,Rice,Rice (n=45),0,0,
PSI-inhibitor,Harvest aid,Rice,Rice (n=45),0,0,
PSII-inhibitor,Harvest aid,Rice,Rice (n=45),0,0,
PPO-inhibitor,Harvest aid,Rice,Rice (n=45),0,0,
Synthetic auxin,Harvest aid,Rice,Rice (n=45),0,0,
LCFA inhibitor,Harvest aid,Rice,Rice (n=45),0,0,
ALS inhibitor ,Burndown,Common bean,Common bean (n=57),3,2,130
ACCase inhibitor,Burndown,Common bean,Common bean (n=57),3,2,
Diterpene synthase-inhibitor,Burndown,Common bean,Common bean (n=57),0,0,
Glutamine synthetase-inhibitor,Burndown,Common bean,Common bean (n=57),3,2,
HPPD-inhibitor,Burndown,Common bean,Common bean (n=57),0,0,
EPSPS-inhibitor,Burndown,Common bean,Common bean (n=57),92,71,
Microtubule inhibitor,Burndown,Common bean,Common bean (n=57),0,0,
PSI-inhibitor,Burndown,Common bean,Common bean (n=57),8,6,
PSII-inhibitor,Burndown,Common bean,Common bean (n=57),0,0,
PPO-inhibitor,Burndown,Common bean,Common bean (n=57),16,12,
Synthetic auxin,Burndown,Common bean,Common bean (n=57),5,4,
LCFA inhibitor,Burndown,Common bean,Common bean (n=57),0,0,
ALS inhibitor ,PRE-emergence,Common bean,Common bean (n=57),13,9,140
ACCase inhibitor,PRE-emergence,Common bean,Common bean (n=57),0,0,
Diterpene synthase-inhibitor,PRE-emergence,Common bean,Common bean (n=57),0,0,
Glutamine synthetase-inhibitor,PRE-emergence,Common bean,Common bean (n=57),0,0,
HPPD-inhibitor,PRE-emergence,Common bean,Common bean (n=57),0,0,
EPSPS-inhibitor,PRE-emergence,Common bean,Common bean (n=57),7,5,
Microtubule inhibitor,PRE-emergence,Common bean,Common bean (n=57),27,19,
PSI-inhibitor,PRE-emergence,Common bean,Common bean (n=57),0,0,
PSII-inhibitor,PRE-emergence,Common bean,Common bean (n=57),7,5,
PPO-inhibitor,PRE-emergence,Common bean,Common bean (n=57),13,9,
Synthetic auxin,PRE-emergence,Common bean,Common bean (n=57),0,0,
LCFA inhibitor,PRE-emergence,Common bean,Common bean (n=57),73,52,
ALS inhibitor ,POST-emergence,Common bean,Common bean (n=57),16,8,189
ACCase inhibitor,POST-emergence,Common bean,Common bean (n=57),58,31,
Diterpene synthase-inhibitor,POST-emergence,Common bean,Common bean (n=57),0,0,
Glutamine synthetase-inhibitor,POST-emergence,Common bean,Common bean (n=57),0,0,
HPPD-inhibitor,POST-emergence,Common bean,Common bean (n=57),0,0,
EPSPS-inhibitor,POST-emergence,Common bean,Common bean (n=57),0,0,
Microtubule inhibitor,POST-emergence,Common bean,Common bean (n=57),0,0,
PSI-inhibitor,POST-emergence,Common bean,Common bean (n=57),0,0,
PSII-inhibitor,POST-emergence,Common bean,Common bean (n=57),35,19,
PPO-inhibitor,POST-emergence,Common bean,Common bean (n=57),77,41,
Synthetic auxin,POST-emergence,Common bean,Common bean (n=57),0,0,
LCFA inhibitor,POST-emergence,Common bean,Common bean (n=57),3,2,
ALS inhibitor ,Harvest aid,Common bean,Common bean (n=57),0,0,128
ACCase inhibitor,Harvest aid,Common bean,Common bean (n=57),0,0,
Diterpene synthase-inhibitor,Harvest aid,Common bean,Common bean (n=57),0,0,
Glutamine synthetase-inhibitor,Harvest aid,Common bean,Common bean (n=57),41,32,
HPPD-inhibitor,Harvest aid,Common bean,Common bean (n=57),0,0,
EPSPS-inhibitor,Harvest aid,Common bean,Common bean (n=57),5,4,
Microtubule inhibitor,Harvest aid,Common bean,Common bean (n=57),0,0,
PSI-inhibitor,Harvest aid,Common bean,Common bean (n=57),77,60,
PSII-inhibitor,Harvest aid,Common bean,Common bean (n=57),0,0,
PPO-inhibitor,Harvest aid,Common bean,Common bean (n=57),5,4,
