Regiao,Resp,Perc
Brasil,Sim,74
Norte,Sim,73
Nordeste,Sim,64
Centro-Oeste,Sim,79
Sudeste,Sim,73
Sul,Sim,80
Brasil,Não sabe,12
Norte,Não sabe,18
Nordeste,Não sabe,27
Centro-Oeste,Não sabe,12
Sudeste,Não sabe,13
Sul,Não sabe,7
Brasil,Não  ,14
Norte,Não  ,9
Nordeste,Não  ,9
Centro-Oeste,Não  ,9
Sudeste,Não  ,14
Sul,Não  ,13
